Citation,Year,Indicator,Journal
J Clin Epidemiol. 2002 Jan;55(1):1-4. doi: 10.1016/s0895-4356(01)00428-0.,2002,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2021 Jun;134:52-64. doi: 10.1016/j.jclinepi.2021.01.012. Epub 2021 Jan 21.,2021,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Oct;60(10):1085-9. doi: 10.1016/j.jclinepi.2007.01.004. Epub 2007 May 17.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Aug;100:71-81. doi: 10.1016/j.jclinepi.2018.04.016. Epub 2018 Apr 26.,2018,1,J Clin Epidemiol
J Clin Epidemiol. 2022 Nov;151:75-87. doi: 10.1016/j.jclinepi.2022.07.012. Epub 2022 Aug 1.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2005 Feb;58(2):121-9. doi: 10.1016/j.jclinepi.2004.04.012.,2005,0,J Clin Epidemiol
J Clin Epidemiol. 2012 Apr;65(4):444-53. doi: 10.1016/j.jclinepi.2011.09.011. Epub 2012 Jan 17.,2012,0,J Clin Epidemiol
J Clin Epidemiol. 2016 May;73:50-7. doi: 10.1016/j.jclinepi.2015.02.019. Epub 2016 Feb 18.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2010 Mar;63(3):315-20. doi: 10.1016/j.jclinepi.2009.04.011. Epub 2009 Sep 5.,2010,0,J Clin Epidemiol
J Clin Epidemiol. 2009 Aug;62(8):781-796.e1. doi: 10.1016/j.jclinepi.2008.09.004. Epub 2009 Jan 10.,2009,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Sep;77:15-23. doi: 10.1016/j.jclinepi.2016.03.032. Epub 2016 May 13.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2012 Apr;65(4):368-74. doi: 10.1016/j.jclinepi.2011.10.013.,2012,0,J Clin Epidemiol
J Clin Epidemiol. 2010 Oct;63(10):1061-70. doi: 10.1016/j.jclinepi.2010.04.014.,2010,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Jan;153:102-105. doi: 10.1016/j.jclinepi.2022.08.017. Epub 2022 Oct 20.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2006 Apr;59(4):342-53. doi: 10.1016/j.jclinepi.2005.08.017.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Apr;108:102-109. doi: 10.1016/j.jclinepi.2018.11.016. Epub 2018 Nov 17.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Jul;159:289-299. doi: 10.1016/j.jclinepi.2023.04.016. Epub 2023 May 3.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Jun;68(6):603-9. doi: 10.1016/j.jclinepi.2014.12.006. Epub 2014 Dec 30.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Jun;86:71-74. doi: 10.1016/j.jclinepi.2016.10.002. Epub 2016 Oct 24.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 1996 Feb;49(2):263-6. doi: 10.1016/0895-4356(95)00521-8.,1996,0,J Clin Epidemiol
J Clin Epidemiol. 2022 May;145:144-153. doi: 10.1016/j.jclinepi.2022.01.023. Epub 2022 Feb 4.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Sep;66(9):948-54. doi: 10.1016/j.jclinepi.2013.03.019. Epub 2013 Jun 21.,2013,1,J Clin Epidemiol
J Clin Epidemiol. 1994 Nov;47(11):1307-13. doi: 10.1016/0895-4356(94)90136-8.,1994,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Jun;86:125-128. doi: 10.1016/j.jclinepi.2016.05.019. Epub 2016 Oct 17.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 1995 Nov;48(11):1379-90. doi: 10.1016/0895-4356(95)00028-3.,1995,1,J Clin Epidemiol
J Clin Epidemiol. 2001 Jan;54(1):68-85. doi: 10.1016/s0895-4356(00)00258-4.,2001,0,J Clin Epidemiol
J Clin Epidemiol. 1996 Feb;49(2):235-43. doi: 10.1016/0895-4356(95)00062-3.,1996,0,J Clin Epidemiol
J Clin Epidemiol. 1993 Feb;46(2):163-72. doi: 10.1016/0895-4356(93)90054-5.,1993,0,J Clin Epidemiol
J Clin Epidemiol. 2021 Sep;137:113-125. doi: 10.1016/j.jclinepi.2021.03.029. Epub 2021 Apr 7.,2021,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Apr;66(4):379-385.e4. doi: 10.1016/j.jclinepi.2012.10.013. Epub 2013 Jan 18.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 1997 Jan;50(1):69-77. doi: 10.1016/s0895-4356(96)00297-1.,1997,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Jan;81:72-76. doi: 10.1016/j.jclinepi.2016.08.012. Epub 2016 Sep 10.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Jul;60(7):651-7; discussion 658-62. doi: 10.1016/j.jclinepi.2006.10.020. Epub 2007 Feb 23.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Oct;67(10):1076-82. doi: 10.1016/j.jclinepi.2014.06.008. Epub 2014 Jul 30.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2006 May;59(5):437-47. doi: 10.1016/j.jclinepi.2005.07.004. Epub 2005 Oct 13.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 2005 Jun;58(6):595-602. doi: 10.1016/j.jclinepi.2004.10.018.,2005,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Aug;67(8):870-6. doi: 10.1016/j.jclinepi.2013.10.013. Epub 2014 Jan 8.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2016 May;73:36-42. doi: 10.1016/j.jclinepi.2015.11.021. Epub 2016 Feb 15.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2008 Feb;61(2):160-168. doi: 10.1016/j.jclinepi.2007.04.015. Epub 2007 Oct 22.,2008,1,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2021 May;133:80-93. doi: 10.1016/j.jclinepi.2021.01.004. Epub 2021 Jan 19.,2021,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 1999 Nov;52(11):1089-94. doi: 10.1016/s0895-4356(99)00085-2.,1999,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Apr;96:110-119. doi: 10.1016/j.jclinepi.2017.12.013. Epub 2017 Dec 28.,2018,0,J Clin Epidemiol
J Clin Epidemiol. 2009 Jan;62(1):102-10. doi: 10.1016/j.jclinepi.2008.02.012. Epub 2008 Jul 10.,2009,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Aug;112:45-52. doi: 10.1016/j.jclinepi.2019.04.009. Epub 2019 Apr 30.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2016 May;73:19-28. doi: 10.1016/j.jclinepi.2015.08.030. Epub 2016 Feb 15.,2016,0,J Clin Epidemiol
