Citation,Year,Meta-Analysis,Journal
Stat Med. 2015 Dec 10;34(28):3661-79. doi: 10.1002/sim.6607. Epub 2015 Aug 3.,2015,0,Stat Med
Stat Med. 2004 Jun 30;23(12):1921-86. doi: 10.1002/sim.1783.,2004,0,Stat Med
Stat Med. 1996 Feb 28;15(4):361-87. doi: 10.1002/(SICI)1097-0258(19960229)15:4<361::AID-SIM168>3.0.CO;2-4.,1996,0,Stat Med
Stat Med. 2022 Feb 28;41(5):838-844. doi: 10.1002/sim.9304. Epub 2022 Feb 10.,2022,0,Stat Med
Stat Med. 2000 Dec 15;19(23):3275-89. doi: 10.1002/1097-0258(20001215)19:23<3275::aid-sim626>3.0.co;2-m.,2000,0,Stat Med
Stat Med. 2019 Jan 15;38(1):1-12. doi: 10.1002/sim.7901. Epub 2018 Jul 25.,2019,0,Stat Med
Stat Med. 2019 May 30;38(12):2292-2302. doi: 10.1002/sim.8093. Epub 2019 Jan 22.,2019,0,Stat Med
Stat Med. 2017 Dec 10;36(28):4498-4502. doi: 10.1002/sim.7340.,2017,0,Stat Med
Stat Med. 2017 Dec 10;36(28):4446-4454. doi: 10.1002/sim.7416. Epub 2017 Aug 1.,2017,0,Stat Med
Stat Med. 2022 Jul 20;41(16):3102-3130. doi: 10.1002/sim.9407. Epub 2022 May 6.,2022,0,Stat Med
Stat Med. 2018 Jan 15;37(1):137-156. doi: 10.1002/sim.7514. Epub 2017 Oct 10.,2018,0,Stat Med
Stat Med. 2020 Oct 30;39(24):3227-3254. doi: 10.1002/sim.8659. Epub 2020 Sep 3.,2020,0,Stat Med
Stat Med. 2017 Jan 30;36(2):215-224. doi: 10.1002/sim.6910. Epub 2016 Feb 29.,2017,0,Stat Med
Stat Med. 2022 Sep 30;41(22):4299-4310. doi: 10.1002/sim.9510. Epub 2022 Jun 25.,2022,0,Stat Med
Stat Med. 2019 Jan 30;38(2):152-159. doi: 10.1002/sim.7903. Epub 2018 Jul 18.,2019,0,Stat Med
Stat Med. 2020 Mar 30;39(7):845-874. doi: 10.1002/sim.8447. Epub 2020 Jan 8.,2020,0,Stat Med
Stat Med. 2021 Nov 10;40(25):5605-5627. doi: 10.1002/sim.9143. Epub 2021 Jul 21.,2021,0,Stat Med
Stat Med. 2001 Jul 30;20(14):2183-204. doi: 10.1002/sim.933.,2001,0,Stat Med
Stat Med. 2019 Jul 20;38(16):3053-3072. doi: 10.1002/sim.8169. Epub 2019 May 3.,2019,1,Stat Med
Stat Med. 2017 Apr 15;36(8):1203-1209. doi: 10.1002/sim.7215. Epub 2017 Jan 19.,2017,0,Stat Med
Stat Med. 2018 Nov 10;37(25):3693-3706. doi: 10.1002/sim.7667. Epub 2018 Jun 21.,2018,0,Stat Med
Stat Med. 2022 Aug 15;41(18):3612-3626. doi: 10.1002/sim.9437. Epub 2022 May 23.,2022,0,Stat Med
Stat Med. 2013 Nov 30;32(27):4791-802. doi: 10.1002/sim.5877. Epub 2013 Jun 12.,2013,0,Stat Med
Stat Med. 2017 Dec 20;36(29):4585-4603. doi: 10.1002/sim.7446. Epub 2017 Aug 30.,2017,0,Stat Med
Stat Med. 2013 Mar 30;32(7):1079-111. doi: 10.1002/sim.5642. Epub 2012 Oct 9.,2013,0,Stat Med
Stat Med. 2020 Jul 30;39(17):2350-2370. doi: 10.1002/sim.8533. Epub 2020 Apr 3.,2020,0,Stat Med
Stat Med. 2022 May 30;41(12):2091-2114. doi: 10.1002/sim.9346. Epub 2022 Mar 16.,2022,1,Stat Med
Stat Med. 2021 Mar 30;40(7):1718-1735. doi: 10.1002/sim.8866. Epub 2020 Dec 29.,2021,0,Stat Med
Stat Med. 2013 Mar 30;32(7):1136-49. doi: 10.1002/sim.5667. Epub 2012 Oct 30.,2013,0,Stat Med
Stat Med. 2014 Feb 20;33(4):693-713. doi: 10.1002/sim.5974. Epub 2013 Sep 16.,2014,0,Stat Med
Stat Med. 2023 Jun 30;42(14):2496-2520. doi: 10.1002/sim.9734. Epub 2023 Apr 5.,2023,0,Stat Med
Stat Med. 2000 Dec 15;19(23):3291-305. doi: 10.1002/1097-0258(20001215)19:23<3291::aid-sim627>3.0.co;2-t.,2000,0,Stat Med
Stat Med. 2023 Jan 30;42(2):122-145. doi: 10.1002/sim.9605. Epub 2022 Nov 30.,2023,0,Stat Med
Stat Med. 1994 Mar 15-Apr 15;13(5-7):557-67. doi: 10.1002/sim.4780130518.,1994,0,Stat Med
Stat Med. 2007 Jan 30;26(2):237-52. doi: 10.1002/sim.2763.,2007,0,Stat Med
Stat Med. 2021 Feb 28;40(5):1133-1146. doi: 10.1002/sim.8828. Epub 2020 Nov 30.,2021,0,Stat Med
Stat Med. 2022 Feb 10;41(3):500-516. doi: 10.1002/sim.9261. Epub 2021 Nov 18.,2022,1,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1745-51. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1745::aid-sim976>3.0.co;2-v.,1998,0,Stat Med
Stat Med. 2022 Apr 30;41(9):1709-1727. doi: 10.1002/sim.9311. Epub 2022 Jan 18.,2022,0,Stat Med
Stat Med. 2013 Sep 30;32(22):3926-43. doi: 10.1002/sim.5831. Epub 2013 Apr 30.,2013,1,Stat Med
Stat Med. 2002 Nov 15;21(21):3291-315. doi: 10.1002/sim.1264.,2002,0,Stat Med
Stat Med. 1995 Jan 30;14(2):137-49. doi: 10.1002/sim.4780140206.,1995,1,Stat Med
Stat Med. 2020 Jan 30;39(2):103-113. doi: 10.1002/sim.8399. Epub 2019 Oct 29.,2020,0,Stat Med
Stat Med. 1999 Sep 15-30;18(17-18):2301-9. doi: 10.1002/(sici)1097-0258(19990915/30)18:17/18<2301::aid-sim256>3.0.co;2-x.,1999,0,Stat Med
Stat Med. 2022 Dec 30;41(30):5830-5843. doi: 10.1002/sim.9596. Epub 2022 Oct 21.,2022,0,Stat Med
Stat Med. 1996 Jun 30;15(12):1253-7; discussion 1259-62. doi: 10.1002/(SICI)1097-0258(19960630)15:12<1253::AID-SIM303>3.0.CO;2-R.,1996,1,Stat Med
Stat Med. 2023 Feb 10;42(3):331-352. doi: 10.1002/sim.9620. Epub 2022 Dec 22.,2023,0,Stat Med
Stat Med. 1997 Dec 15;16(23):2645-64. doi: 10.1002/(sici)1097-0258(19971215)16:23<2645::aid-sim696>3.0.co;2-d.,1997,0,Stat Med
Stat Med. 2018 Mar 30;37(7):1191-1221. doi: 10.1002/sim.7577. Epub 2017 Dec 11.,2018,0,Stat Med
Stat Med. 2022 Jan 15;41(1):65-86. doi: 10.1002/sim.9223. Epub 2021 Oct 20.,2022,0,Stat Med
